row_id,case_id,process_name,sub_process,activity_id,activity_name,performer_id,performer_type,application_used,start_time,end_time,activity_duration_min,is_manual,automation_possible,automation_type,automation_coverage_pct,manual_effort_min,error_flag,error_type,rework_flag,rework_count,sla_met,sla_delay_hours,tat_hours,employee_role,team_name,region,transaction_amount,cost_per_case,created_at,created_by
11,CASE-544154,F&A,AP,ACT-2651177,Create Purchase Order,EMP-6559,Human,CustomPortal,12-02-2025 18:27,12-02-2025 18:28,0.5,TRUE,TRUE,Workflow,55.58,0.5,FALSE,,FALSE,0,TRUE,0,0.742,SME,CBS_AP_Team,India,,0.5,12-02-2025 17:03,EMP-2001
12,CASE-976638,F&A,AP,ACT-4965789,Resolve Exception,EMP-8956,Human,PeopleSoft,25-03-2025 08:16,44:10.8,28.03,TRUE,FALSE,,0,28.03,FALSE,,FALSE,0,TRUE,0,1.126,Sr Analyst,CBS_HR_Team,US,18534.04,2.35,25-03-2025 06:42,EMP-2001
13,CASE-794022,Supply Chain,Order Fulfillment,ACT-5977931,Reconcile Account,EMP-1958,Human,Excel,14-10-2025 01:34,48:20.4,14.29,TRUE,FALSE,,0,14.29,TRUE,Incorrect Approval,TRUE,3,FALSE,3.937,0.868,SME,CBS_AP_Team,US,,0.56,13-10-2025 23:43,ingest_job_v2
14,CASE-523389,F&A,AR,ACT-1666754,Update Payroll,EMP-7868,Human,Email,16-08-2025 00:13,15:06.6,1.91,TRUE,FALSE,,0,1.91,FALSE,,FALSE,0,TRUE,0,1.075,Associate,CBS_Payroll_Team,EU,5349.01,0.5,15-08-2025 23:32,ingest_job_v1
15,CASE-109767,F&A,AP,ACT-4576135,Approve Invoice,EMP-3170,Human,Workday,28-01-2025 01:10,12:29.6,1.61,TRUE,FALSE,,0,1.61,FALSE,,FALSE,0,TRUE,0,0.658,Associate,CBS_SC_Team,India,,0.5,27-01-2025 23:44,EMP-2001
16,CASE-413921,Supply Chain,Procurement,ACT-3253031,Resolve Exception,EMP-2753,Human,Email,04-08-2025 04:25,26:42.2,1.62,TRUE,TRUE,API,61.41,1.62,FALSE,,FALSE,0,TRUE,0,0.841,Manager,CBS_Payroll_Team,India,,0.5,04-08-2025 04:13,EMP-1002
17,CASE-969634,F&A,AP,ACT-3194789,Validate Candidate,EMP-5291,Human,Oracle EBS,16-10-2025 04:46,16-10-2025 04:49,2.9,TRUE,TRUE,,46.35,2.9,TRUE,Missing Data,FALSE,0,TRUE,0,2.812,Manager,CBS_AR_Team,India,7415.86,0.5,16-10-2025 04:06,EMP-1001
18,CASE-934794,Supply Chain,Procurement,ACT-7003042,Resolve Exception,EMP-5088,Human,Email,10-02-2025 06:06,10-02-2025 06:12,5.95,TRUE,TRUE,Script,85.15,5.95,FALSE,,FALSE,0,TRUE,0,2.582,Approver,CBS_AR_Team,EU,,0.56,10-02-2025 06:02,ingest_job_v2
19,CASE-872343,Supply Chain,Logistics,ACT-5163555,Update Inventory,EMP-2771,Human,PeopleSoft,16-01-2025 08:56,00:53.2,4.52,TRUE,FALSE,,0,4.52,FALSE,,FALSE,0,TRUE,0,3.342,Approver,CBS_AR_Team,India,,0.5,16-01-2025 07:31,ingest_job_v2
20,CASE-517821,F&A,AP,ACT-5682940,Update Inventory,EMP-9346,Human,PeopleSoft,22-09-2025 05:34,22-09-2025 05:36,2.75,TRUE,FALSE,,0,2.75,FALSE,,FALSE,0,TRUE,0,3.803,Sr Analyst,CBS_AP_Team,India,,0.5,22-09-2025 04:17,EMP-1002
21,CASE-462479,Supply Chain,Inventory,ACT-9580255,Schedule Interview,EMP-4114,Human,Workday,18-01-2025 13:42,50:18.2,7.57,TRUE,FALSE,,0,7.57,TRUE,Incorrect Approval,TRUE,3,TRUE,0,3.074,Associate,CBS_Payroll_Team,US,,0.5,18-01-2025 13:01,ingest_job_v1
22,CASE-854717,Supply Chain,Inventory,ACT-7851696,Create Purchase Order,EMP-5844,Human,Excel,19-02-2025 18:24,19-02-2025 18:25,1.2,TRUE,TRUE,,89.93,1.2,FALSE,,FALSE,0,TRUE,0,3.631,SME,CBS_AP_Team,EU,,0.5,19-02-2025 17:47,ingest_job_v2
23,CASE-550770,Supply Chain,Inventory,ACT-8411939,Process Onboarding,EMP-4501,Human,Excel,04-07-2025 02:24,27:38.6,2.76,TRUE,FALSE,,0,2.76,FALSE,,FALSE,0,TRUE,0,2.681,SME,CBS_Payroll_Team,India,,0.5,04-07-2025 00:39,ingest_job_v2
24,CASE-805477,F&A,AR,ACT-1409790,Post Journal,EMP-8784,Human,Excel,27-11-2025 08:07,27-11-2025 08:11,3.65,TRUE,FALSE,,0,3.65,FALSE,,FALSE,0,TRUE,0,3.605,Manager,CBS_AR_Team,India,,0.5,27-11-2025 06:43,ingest_job_v1
25,CASE-887443,Supply Chain,Procurement,ACT-8132769,Update Inventory,EMP-9486,Human,PeopleSoft,20-01-2025 20:04,09:01.2,4.87,TRUE,FALSE,,0,4.87,FALSE,,FALSE,0,TRUE,0,0.567,SME,CBS_SC_Team,US,,0.5,20-01-2025 19:23,EMP-1002
26,CASE-742412,Supply Chain,Logistics,ACT-8481188,Schedule Shipment,BOT-861,Bot,CustomPortal,04-07-2025 16:17,04-07-2025 16:29,12.3,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,3.564,Bot,CBS_HR_Team,US,,1.02,04-07-2025 15:46,EMP-1001
27,CASE-561239,F&A,Payroll,ACT-5558623,Reconcile Account,EMP-9849,Human,SAP ECC,24-02-2025 01:44,46:09.8,1.78,TRUE,TRUE,Workflow,70.05,1.78,TRUE,System Error,TRUE,2,TRUE,0,1.693,Associate,CBS_AP_Team,US,18101.53,0.5,24-02-2025 00:55,EMP-1002
28,CASE-106182,Supply Chain,Inventory,ACT-7542890,Update Inventory,BOT-955,Bot,PeopleSoft,29-07-2025 08:34,40:31.8,5.78,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,2.281,Bot,CBS_AR_Team,EU,,0.5,29-07-2025 07:38,EMP-1002
29,CASE-130434,F&A,MonthEndClose,ACT-3768991,Receive Goods,BOT-230,Bot,Excel,27-07-2025 18:23,30:45.8,7.18,FALSE,FALSE,,0,0,TRUE,System Error,TRUE,3,TRUE,0,0.228,Bot,CBS_HR_Team,EU,9260.88,0.5,27-07-2025 17:55,EMP-1002
30,CASE-442722,F&A,MonthEndClose,ACT-8072684,Process Payment,EMP-2341,Human,PeopleSoft,08-01-2025 20:39,08-01-2025 20:40,0.5,TRUE,TRUE,API,29.06,0.5,TRUE,Missing Data,FALSE,0,TRUE,0,3.807,Associate,CBS_AP_Team,US,3090.03,0.5,08-01-2025 20:11,EMP-1002
31,CASE-833442,F&A,Payroll,ACT-2921542,Post Journal,BOT-267,Bot,Workday,12-02-2025 07:33,40:40.8,7.48,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,3.84,Bot,CBS_AR_Team,India,,0.5,12-02-2025 06:17,ingest_job_v2
32,CASE-206851,HR,Payroll,ACT-3030966,Schedule Shipment,BOT-679,Bot,CustomPortal,17-01-2025 06:47,17-01-2025 06:49,1.5,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.507,Bot,CBS_HR_Team,EU,,0.5,17-01-2025 06:33,EMP-1002
33,CASE-479781,HR,Leaves,ACT-3566765,Receive Goods,EMP-9548,Human,Email,16-04-2025 05:21,21:33.4,0.54,TRUE,FALSE,,0,0.54,FALSE,,FALSE,0,TRUE,0,3.108,SME,CBS_Payroll_Team,EU,,0.5,16-04-2025 03:31,ingest_job_v2
34,CASE-971084,Supply Chain,Inventory,ACT-8563202,Resolve Exception,EMP-8613,Human,Excel,26-08-2025 08:42,06:00.4,23.79,TRUE,FALSE,,0,23.79,FALSE,,FALSE,0,TRUE,0,2.374,Sr Analyst,CBS_Payroll_Team,EU,,1.46,26-08-2025 08:06,EMP-2001
35,CASE-835244,Supply Chain,Procurement,ACT-4205394,Approve Leave,EMP-7658,Human,PeopleSoft,04-08-2025 22:37,04:00.2,26.97,TRUE,FALSE,,0,26.97,FALSE,,FALSE,0,TRUE,0,3.033,Analyst,CBS_Payroll_Team,India,,2.28,04-08-2025 21:45,ingest_job_v2
36,CASE-421080,HR,Payroll,ACT-9907391,Process Onboarding,EMP-6419,Human,Workday,01-10-2025 07:04,18:11.2,13.22,TRUE,TRUE,Workflow,20.26,13.22,FALSE,,FALSE,0,TRUE,0,0.699,Approver,CBS_AR_Team,India,,1.09,01-10-2025 05:29,EMP-1002
37,CASE-389930,Supply Chain,Inventory,ACT-4256752,Approve Invoice,EMP-6912,Human,Oracle EBS,28-04-2025 17:20,23:11.6,2.91,TRUE,TRUE,Script,20.76,2.91,TRUE,Missing Data,TRUE,3,TRUE,0,3.825,Analyst,CBS_AP_Team,US,,0.5,28-04-2025 16:43,EMP-1002
38,CASE-601968,F&A,AR,ACT-5235884,Validate Invoice,SYSTEM-71,System,SAP ECC,16-11-2025 14:40,41:12.2,0.82,FALSE,FALSE,,0,0,TRUE,System Error,TRUE,3,TRUE,0,2.759,System,CBS_AP_Team,India,,0.5,16-11-2025 14:24,EMP-2001
39,CASE-901577,F&A,AR,ACT-9767312,Update Inventory,EMP-8253,Human,Workday,17-08-2025 21:27,36:19.2,9.22,TRUE,FALSE,,0,9.22,FALSE,,FALSE,0,TRUE,0,2.638,Approver,CBS_AR_Team,EU,,0.89,17-08-2025 20:02,ingest_job_v1
40,CASE-264686,F&A,AP,ACT-1044891,Post Journal,EMP-8699,Human,Workday,14-01-2025 00:13,18:09.4,4.64,TRUE,TRUE,,34.03,4.64,FALSE,,FALSE,0,TRUE,0,0.362,Approver,CBS_HR_Team,India,15835.39,0.5,13-01-2025 23:03,ingest_job_v2
41,CASE-779094,F&A,Payroll,ACT-3386328,Schedule Shipment,EMP-3718,Human,CustomPortal,30-04-2025 19:08,10:01.4,1.04,TRUE,FALSE,,0,1.04,FALSE,,FALSE,0,TRUE,0,1.774,SME,CBS_HR_Team,EU,8080.04,0.5,30-04-2025 18:57,EMP-2001
42,CASE-141797,Supply Chain,Inventory,ACT-5200476,Update Payroll,EMP-4750,Human,Email,21-11-2025 23:41,47:24.2,5.47,TRUE,FALSE,,0,5.47,FALSE,,FALSE,0,TRUE,0,0.174,SME,CBS_AP_Team,India,,0.5,21-11-2025 22:40,EMP-2001
43,CASE-783157,F&A,Payroll,ACT-8312936,Post Journal,EMP-9056,Human,SAP ECC,02-07-2025 20:48,02-07-2025 20:49,0.5,TRUE,TRUE,API,37.29,0.5,FALSE,,FALSE,0,TRUE,0,0.652,SME,CBS_AP_Team,EU,13268.54,0.5,02-07-2025 20:36,EMP-1001
44,CASE-364659,F&A,MonthEndClose,ACT-9633492,Schedule Shipment,BOT-101,Bot,Email,31-07-2025 01:20,31-07-2025 01:39,19.2,FALSE,FALSE,,0,0,TRUE,Incorrect Approval,TRUE,2,TRUE,0,2.822,Bot,CBS_HR_Team,US,11006.93,1.82,31-07-2025 00:17,ingest_job_v1
45,CASE-130271,Supply Chain,Order Fulfillment,ACT-3657144,Receive Goods,EMP-1224,Human,Excel,08-06-2025 18:44,08-06-2025 18:47,2.4,TRUE,TRUE,RPA,49.22,2.4,FALSE,,FALSE,0,TRUE,0,3.369,SME,CBS_Payroll_Team,EU,,0.5,08-06-2025 16:57,EMP-1002
46,CASE-595158,F&A,AR,ACT-4197911,Schedule Interview,BOT-620,Bot,Email,23-02-2025 08:20,29:40.4,8.69,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.25,Bot,CBS_AP_Team,EU,18688.26,0.55,23-02-2025 06:47,EMP-1001
47,CASE-978157,HR,Leaves,ACT-3493017,Schedule Shipment,EMP-8935,Human,Workday,10-05-2025 10:33,36:52.4,2.99,TRUE,FALSE,,0,2.99,FALSE,,FALSE,0,TRUE,0,1.337,SME,CBS_HR_Team,India,,0.5,10-05-2025 08:43,EMP-1002
48,CASE-145767,F&A,MonthEndClose,ACT-7395997,Receive Goods,EMP-3492,Human,PeopleSoft,15-01-2025 17:02,08:44.2,5.87,TRUE,TRUE,Script,38.22,5.87,FALSE,,FALSE,0,TRUE,0,3.478,Approver,CBS_HR_Team,US,,0.5,15-01-2025 16:42,ingest_job_v1
49,CASE-592296,Supply Chain,Inventory,ACT-7668663,Validate Candidate,EMP-6383,Human,CustomPortal,20-09-2025 05:28,34:21.8,6.33,TRUE,FALSE,,0,6.33,FALSE,,FALSE,0,TRUE,0,1.372,SME,CBS_AP_Team,US,,0.52,20-09-2025 05:19,ingest_job_v2
50,CASE-761820,HR,Payroll,ACT-2516313,Reconcile Account,EMP-2612,Human,CustomPortal,04-09-2025 10:57,59:06.4,1.64,TRUE,TRUE,Workflow,68.99,1.64,FALSE,,FALSE,0,TRUE,0,0.211,Sr Analyst,CBS_HR_Team,India,,0.5,04-09-2025 10:25,EMP-2001
51,CASE-532067,HR,Onboarding,ACT-3937176,Post Journal,EMP-7267,Human,Excel,23-09-2025 15:16,44:28.4,27.94,TRUE,TRUE,Script,22.17,27.94,FALSE,,FALSE,0,TRUE,0,1.482,Manager,CBS_Payroll_Team,US,,0.72,23-09-2025 14:06,ingest_job_v2
52,CASE-177449,F&A,Payroll,ACT-6018975,Update Payroll,EMP-7951,Human,Email,08-04-2025 11:05,16:59.4,11.94,TRUE,FALSE,,0,11.94,FALSE,,FALSE,0,TRUE,0,4.196,Sr Analyst,CBS_Payroll_Team,India,7658.22,0.62,08-04-2025 09:18,EMP-1002
53,CASE-387813,F&A,AP,ACT-9333700,Resolve Exception,BOT-393,Bot,CustomPortal,07-11-2025 13:54,17:23.4,22.44,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,3.582,Bot,CBS_AR_Team,US,5050,1.83,07-11-2025 13:41,ingest_job_v1
54,CASE-423939,Supply Chain,Procurement,ACT-7121355,Update Payroll,EMP-2476,Human,Workday,08-05-2025 05:14,32:35.2,18.02,TRUE,FALSE,,0,18.02,FALSE,,FALSE,0,TRUE,0,0.829,SME,CBS_SC_Team,EU,,1.76,08-05-2025 03:27,ingest_job_v2
55,CASE-369452,Supply Chain,Logistics,ACT-5951651,Update Inventory,EMP-6549,Human,CustomPortal,15-02-2025 01:27,34:51.4,7.29,TRUE,FALSE,,0,7.29,TRUE,Validation Failure,FALSE,0,FALSE,46.432,3.018,Sr Analyst,CBS_AP_Team,EU,,0.62,15-02-2025 01:25,EMP-1001
56,CASE-662636,F&A,Payroll,ACT-5398338,Create Purchase Order,EMP-7086,Human,SAP ECC,20-09-2025 09:55,20-09-2025 10:16,20.4,TRUE,TRUE,RPA,62.66,20.4,FALSE,,FALSE,0,TRUE,0,1.652,Associate,CBS_Payroll_Team,US,12726.31,1.22,20-09-2025 09:02,ingest_job_v1
57,CASE-246566,F&A,AP,ACT-9264869,Process Payment,EMP-4846,Human,Excel,23-02-2025 00:28,29:34.4,0.74,TRUE,TRUE,,69.2,0.74,FALSE,,FALSE,0,TRUE,0,2.362,Manager,CBS_SC_Team,EU,,0.5,22-02-2025 23:52,ingest_job_v1
58,CASE-823811,F&A,MonthEndClose,ACT-4961312,Process Onboarding,BOT-201,Bot,Email,23-05-2025 23:48,23-05-2025 23:50,1.75,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.464,Bot,CBS_HR_Team,India,2487.09,0.5,23-05-2025 22:23,ingest_job_v2
59,CASE-772875,HR,Hiring,ACT-6595355,Validate Invoice,EMP-3063,Human,CustomPortal,08-08-2025 14:14,08-08-2025 14:15,0.5,TRUE,TRUE,Script,27.61,0.5,FALSE,,FALSE,0,TRUE,0,3.487,SME,CBS_AP_Team,EU,,0.5,08-08-2025 12:24,ingest_job_v2
60,CASE-236306,HR,Onboarding,ACT-1432519,Approve Invoice,EMP-6869,Human,CustomPortal,03-11-2025 12:42,03-11-2025 12:46,3.15,TRUE,TRUE,API,11.34,3.15,FALSE,,FALSE,0,TRUE,0,0.56,Analyst,CBS_HR_Team,EU,,0.5,03-11-2025 11:02,EMP-1001
61,CASE-638169,HR,Leaves,ACT-4716988,Approve Leave,SYSTEM-15,System,Email,01-11-2025 12:12,16:12.4,3.94,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,2.701,System,CBS_AP_Team,India,,0.5,01-11-2025 11:10,EMP-1002
62,CASE-546980,HR,Leaves,ACT-8441741,Receive Goods,EMP-2323,Human,Workday,25-08-2025 13:44,47:05.8,2.53,TRUE,TRUE,Workflow,33.38,2.53,FALSE,,FALSE,0,TRUE,0,2.236,SME,CBS_Payroll_Team,EU,,0.5,25-08-2025 12:39,EMP-2001
63,CASE-551096,F&A,AP,ACT-4607488,Schedule Shipment,EMP-4743,Human,PeopleSoft,12-05-2025 23:04,18:24.2,14.12,TRUE,TRUE,,18.08,14.12,FALSE,,FALSE,0,TRUE,0,2.896,Analyst,CBS_AP_Team,EU,18463.55,0.5,12-05-2025 22:51,EMP-1001
64,CASE-951201,F&A,AP,ACT-6530541,Update Payroll,EMP-7730,Human,Workday,16-09-2025 17:25,28:54.8,3.53,TRUE,FALSE,,0,3.53,FALSE,,FALSE,0,TRUE,0,3.722,SME,CBS_AR_Team,India,6283.36,0.5,16-09-2025 16:00,EMP-1002
65,CASE-335137,Supply Chain,Inventory,ACT-7166651,Schedule Shipment,EMP-5564,Human,Excel,30-03-2025 03:57,59:57.4,2.64,TRUE,FALSE,,0,2.64,FALSE,,FALSE,0,TRUE,0,3.318,Analyst,CBS_SC_Team,US,,0.5,30-03-2025 02:10,EMP-1001
66,CASE-130359,F&A,Payroll,ACT-6701311,Resolve Exception,EMP-3972,Human,CustomPortal,25-02-2025 23:12,18:17.6,6.26,TRUE,FALSE,,0,6.26,FALSE,,FALSE,0,TRUE,0,0.672,Manager,CBS_HR_Team,EU,14934.93,0.5,25-02-2025 22:51,EMP-1001
67,CASE-426775,Supply Chain,Procurement,ACT-1882629,Resolve Exception,EMP-1815,Human,Email,02-02-2025 00:23,24:54.2,1.22,TRUE,TRUE,,46.04,1.22,FALSE,,FALSE,0,TRUE,0,1.677,Sr Analyst,CBS_HR_Team,India,,0.5,01-02-2025 23:46,EMP-2001
68,CASE-610271,HR,Payroll,ACT-4699685,Validate Invoice,EMP-1897,Human,SAP ECC,21-03-2025 17:21,34:38.6,12.96,TRUE,TRUE,Workflow,75.22,12.96,FALSE,,FALSE,0,TRUE,0,1.374,Manager,CBS_AR_Team,India,,0.81,21-03-2025 16:32,EMP-2001
69,CASE-837852,F&A,Payroll,ACT-7661748,Approve Invoice,BOT-143,Bot,PeopleSoft,08-01-2025 14:41,41:38.2,0.62,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,0.322,Bot,CBS_Payroll_Team,India,8118.24,0.5,08-01-2025 13:49,ingest_job_v1
70,CASE-440544,F&A,MonthEndClose,ACT-7070880,Schedule Shipment,EMP-2734,Human,Oracle EBS,19-06-2025 12:47,22:38.2,34.67,TRUE,FALSE,,0,34.67,FALSE,,FALSE,0,TRUE,0,1.819,Analyst,CBS_SC_Team,US,3404.25,2.19,19-06-2025 12:22,EMP-1001
71,CASE-468154,Supply Chain,Order Fulfillment,ACT-2724773,Reconcile Account,EMP-4232,Human,Oracle EBS,23-08-2025 06:45,57:45.4,11.84,TRUE,FALSE,,0,11.84,TRUE,System Error,TRUE,3,TRUE,0,3.237,SME,CBS_SC_Team,EU,,1.12,23-08-2025 04:54,EMP-1001
72,CASE-258290,F&A,MonthEndClose,ACT-6080483,Process Onboarding,BOT-705,Bot,SAP ECC,18-05-2025 00:20,22:07.2,1.77,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,1.837,Bot,CBS_AP_Team,US,,0.5,17-05-2025 23:03,EMP-2001
73,CASE-503159,F&A,AP,ACT-4158134,Process Onboarding,EMP-8792,Human,Excel,28-02-2025 22:07,28-02-2025 22:08,0.5,TRUE,FALSE,,0,0.5,FALSE,,FALSE,0,FALSE,4.139,3.358,Manager,CBS_SC_Team,US,830.89,0.5,28-02-2025 20:48,ingest_job_v2
74,CASE-481574,F&A,Payroll,ACT-7858012,Schedule Interview,BOT-795,Bot,Excel,21-01-2025 16:04,18:26.2,13.52,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,2.815,Bot,CBS_SC_Team,India,13583.67,0.63,21-01-2025 15:21,ingest_job_v1
75,CASE-711046,HR,Payroll,ACT-7575963,Process Payment,EMP-2388,Human,Workday,06-08-2025 09:31,41:41.2,9.82,TRUE,FALSE,,0,9.82,FALSE,,FALSE,0,TRUE,0,2.844,Associate,CBS_SC_Team,India,,0.79,06-08-2025 08:08,EMP-1002
76,CASE-633188,F&A,Payroll,ACT-4024309,Process Payment,SYSTEM-53,System,CustomPortal,09-07-2025 04:22,09-07-2025 04:32,10.45,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,0.794,System,CBS_SC_Team,US,,0.66,09-07-2025 02:28,EMP-2001
77,CASE-139581,HR,Onboarding,ACT-7320310,Update Payroll,EMP-3962,Human,CustomPortal,27-09-2025 09:47,27-09-2025 09:59,11.8,TRUE,FALSE,,0,11.8,FALSE,,FALSE,0,TRUE,0,0.859,Associate,CBS_AR_Team,EU,,0.66,27-09-2025 08:28,EMP-1001
78,CASE-888939,Supply Chain,Logistics,ACT-9959220,Reconcile Account,EMP-8684,Human,CustomPortal,17-03-2025 16:21,22:19.2,0.62,TRUE,FALSE,,0,0.62,FALSE,,FALSE,0,TRUE,0,1.857,SME,CBS_HR_Team,India,,0.5,17-03-2025 14:36,ingest_job_v2
79,CASE-940181,HR,Payroll,ACT-9062973,Validate Invoice,BOT-667,Bot,SAP ECC,04-10-2025 14:44,04-10-2025 14:47,3.55,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,3.464,Bot,CBS_Payroll_Team,EU,,0.5,04-10-2025 12:48,EMP-2001
80,CASE-254506,Supply Chain,Procurement,ACT-4725179,Resolve Exception,BOT-457,Bot,SAP ECC,11-06-2025 11:07,08:09.4,0.99,FALSE,FALSE,,0,0,TRUE,Incorrect Approval,TRUE,2,TRUE,0,3.995,Bot,CBS_AP_Team,US,,0.5,11-06-2025 09:43,EMP-1001
81,CASE-929822,F&A,AP,ACT-8926478,Process Payment,EMP-3273,Human,CustomPortal,02-10-2025 08:04,20:19.6,15.91,TRUE,FALSE,,0,15.91,FALSE,,FALSE,0,TRUE,0,0.341,Manager,CBS_AP_Team,EU,18807.51,1.12,02-10-2025 07:33,EMP-1001
82,CASE-227767,F&A,MonthEndClose,ACT-8669093,Create Purchase Order,EMP-9189,Human,Excel,28-07-2025 12:23,30:48.6,7.81,TRUE,TRUE,Script,58.88,7.81,FALSE,,FALSE,0,TRUE,0,1.295,Associate,CBS_AP_Team,US,11434.74,0.5,28-07-2025 11:36,ingest_job_v1
83,CASE-651613,HR,Hiring,ACT-8887557,Schedule Interview,EMP-7338,Human,Workday,09-04-2025 20:11,14:42.6,3.21,TRUE,FALSE,,0,3.21,FALSE,,FALSE,0,TRUE,0,0.324,Analyst,CBS_SC_Team,US,,0.5,09-04-2025 18:34,EMP-1001
84,CASE-239890,F&A,Payroll,ACT-3937508,Schedule Shipment,BOT-801,Bot,PeopleSoft,28-09-2025 09:29,30:22.8,0.53,FALSE,FALSE,,0,0,FALSE,,FALSE,0,TRUE,0,0.548,Bot,CBS_AR_Team,India,,0.5,28-09-2025 07:47,ingest_job_v2
85,CASE-143941,F&A,Payroll,ACT-7681090,Approve Leave,SYSTEM-79,System,PeopleSoft,09-04-2025 17:03,06:17.8,2.98,FALSE,FALSE,,0,0,TRUE,Validation Failure,TRUE,1,TRUE,0,3.513,System,CBS_HR_Team,EU,7391.98,0.5,09-04-2025 16:19,ingest_job_v2
86,CASE-620306,HR,Payroll,ACT-9712003,Resolve Exception,EMP-2353,Human,Email,15-06-2025 04:37,15-06-2025 04:40,3.15,TRUE,TRUE,Script,94.58,3.15,FALSE,,FALSE,0,TRUE,0,1.228,Sr Analyst,CBS_Payroll_Team,EU,,0.5,15-06-2025 03:19,EMP-1002
